,Rk,Player,Tm,Location,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Evaluation
38,38,T.J. McConnell,PHI,nan,CHI,W,4,1,1,1.0,0,0,,2,2,1.0,0,0,0,3,0,0,0,0,4,5.8,0
39,39,Kelly Oubre,WAS,nan,MIA,L,20,2,8,0.25,0,3,0.0,5,6,0.833,2,4,6,0,0,1,1,1,9,5.7,0
40,40,J.J. Redick,PHI,nan,CHI,W,24,4,11,0.364,1,3,0.333,1,1,1.0,1,2,3,1,1,0,1,1,10,5.5,0
42,41,Tomas Satoransky,WAS,nan,MIA,L,14,1,2,0.5,0,0,,2,2,1.0,0,3,3,3,0,1,1,2,4,4.9,0
43,42,Tyler Johnson,MIA,@,WAS,W,24,3,9,0.333,1,5,0.2,2,2,1.0,1,0,1,1,1,0,1,2,9,4.5,0
44,43,Lonzo Ball,LAL,@,POR,L,19,2,7,0.286,1,4,0.25,2,2,1.0,2,2,4,1,1,0,1,3,7,4.4,0
45,44,Justin Holiday,CHI,@,PHI,L,27,4,12,0.333,2,9,0.222,0,0,,0,4,4,1,0,0,0,2,10,4.3,0
46,45,Wendell Carter,CHI,@,PHI,L,19,4,10,0.4,0,0,,0,0,,1,2,3,3,0,1,1,4,8,4.1,0
47,46,Meyers Leonard,POR,nan,LAL,W,8,0,0,,0,0,,0,0,,1,3,4,4,1,0,1,1,0,4.0,0
48,47,Kentavious Caldwell-Pope,LAL,@,POR,L,27,1,3,0.333,1,1,1.0,2,2,1.0,0,2,2,0,0,0,0,1,5,3.5,0
49,48,Goran Dragic,MIA,@,WAS,W,31,3,18,0.167,1,6,0.167,1,1,1.0,3,3,6,8,1,1,3,3,8,2.7,0
50,49,Ian Mahinmi,WAS,nan,MIA,L,11,1,2,0.5,0,0,,1,2,0.5,1,0,1,0,1,2,1,4,3,2.1,0
51,50,Seth Curry,POR,nan,LAL,W,15,2,6,0.333,1,2,0.5,0,0,,1,4,5,0,0,0,1,2,5,1.7,0
52,51,Robin Lopez,CHI,@,PHI,L,17,1,4,0.25,0,0,,0,0,,1,0,1,3,1,1,2,2,2,1.3,0
53,52,Bam Adebayo,MIA,@,WAS,W,17,1,4,0.25,0,0,,2,4,0.5,3,6,9,0,0,0,3,2,4,0.9,0
54,53,Jason Smith,WAS,nan,MIA,L,14,2,3,0.667,0,0,,0,0,,0,6,6,0,0,0,2,4,4,0.9,0
55,54,Jake Layman,POR,nan,LAL,W,12,1,4,0.25,1,4,0.25,0,0,,0,2,2,0,1,0,1,1,3,0.8,0
56,55,Lance Stephenson,LAL,@,POR,L,16,2,6,0.333,0,3,0.0,0,0,,0,2,2,2,0,0,1,2,4,0.8,0
57,56,Cameron Payne,CHI,@,PHI,L,21,0,4,0.0,0,1,0.0,0,0,,0,1,1,5,1,0,1,1,0,0.6,0
58,57,Michael Beasley,LAL,@,POR,L,2,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
59,58,Jordan McRae,WAS,nan,MIA,L,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
60,59,Tyler Ulis,CHI,@,PHI,L,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
61,60,Furkan Korkmaz,PHI,nan,CHI,W,7,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0
63,61,Chandler Hutchison,CHI,@,PHI,L,2,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
64,62,Jonah Bolden,PHI,nan,CHI,W,2,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0
65,63,Al-Farouq Aminu,POR,nan,LAL,W,26,1,10,0.1,0,6,0.0,3,4,0.75,0,6,6,0,1,0,1,3,5,-1.4,0
