PlayerID,Team,Date
irvinky01,BOS,2018-10-22
morrima03,BOS,2018-10-22
roziete01,BOS,2018-10-22
horfoal01,BOS,2018-10-22
brownja02,BOS,2018-10-22
tatumja01,BOS,2018-10-22
haywago01,BOS,2018-10-22
ojelese01,BOS,2018-10-22
yabusgu01,BOS,2018-10-22
theisda01,BOS,2018-10-22
wanambr01,BOS,2018-10-22
williro04,BOS,2018-10-22
baynear01,BOS,2018-10-22
smartma01,BOS,2018-10-22
lemonwa01,BOS,2018-10-22
birdja01,BOS,2018-10-22
doziepj01,BOS,2018-10-22
PlayerID,Team,Date
irvinky01,BOS,2018-10-23
morrima03,BOS,2018-10-23
roziete01,BOS,2018-10-23
horfoal01,BOS,2018-10-23
brownja02,BOS,2018-10-23
tatumja01,BOS,2018-10-23
haywago01,BOS,2018-10-23
ojelese01,BOS,2018-10-23
yabusgu01,BOS,2018-10-23
theisda01,BOS,2018-10-23
wanambr01,BOS,2018-10-23
williro04,BOS,2018-10-23
baynear01,BOS,2018-10-23
smartma01,BOS,2018-10-23
lemonwa01,BOS,2018-10-23
birdja01,BOS,2018-10-23
doziepj01,BOS,2018-10-23
irvinky01,BOS,2018-10-23
morrima03,BOS,2018-10-23
roziete01,BOS,2018-10-23
horfoal01,BOS,2018-10-23
brownja02,BOS,2018-10-23
tatumja01,BOS,2018-10-23
haywago01,BOS,2018-10-23
ojelese01,BOS,2018-10-23
yabusgu01,BOS,2018-10-23
theisda01,BOS,2018-10-23
wanambr01,BOS,2018-10-23
williro04,BOS,2018-10-23
baynear01,BOS,2018-10-23
smartma01,BOS,2018-10-23
lemonwa01,BOS,2018-10-23
birdja01,BOS,2018-10-23
doziepj01,BOS,2018-10-23
