PlayerID,Team,Date
thompkl01,GSW,2018-10-22
greendr01,GSW,2018-10-22
jonesda03,GSW,2018-10-22
belljo01,GSW,2018-10-22
curryst01,GSW,2018-10-22
iguodan01,GSW,2018-10-22
livinsh01,GSW,2018-10-22
cookqu01,GSW,2018-10-22
evansja02,GSW,2018-10-22
couside01,GSW,2018-10-22
duranke01,GSW,2018-10-22
looneke01,GSW,2018-10-22
jerebjo01,GSW,2018-10-22
leeda03,GSW,2018-10-22
derrima01,GSW,2018-10-22
mckinal01,GSW,2018-10-22
mckinal01,GSW,2018-10-22
PlayerID,Team,Date
thompkl01,GSW,2018-10-23
greendr01,GSW,2018-10-23
jonesda03,GSW,2018-10-23
belljo01,GSW,2018-10-23
curryst01,GSW,2018-10-23
iguodan01,GSW,2018-10-23
livinsh01,GSW,2018-10-23
cookqu01,GSW,2018-10-23
evansja02,GSW,2018-10-23
couside01,GSW,2018-10-23
duranke01,GSW,2018-10-23
looneke01,GSW,2018-10-23
jerebjo01,GSW,2018-10-23
leeda03,GSW,2018-10-23
derrima01,GSW,2018-10-23
mckinal01,GSW,2018-10-23
mckinal01,GSW,2018-10-23
thompkl01,GSW,2018-10-23
greendr01,GSW,2018-10-23
jonesda03,GSW,2018-10-23
belljo01,GSW,2018-10-23
curryst01,GSW,2018-10-23
iguodan01,GSW,2018-10-23
livinsh01,GSW,2018-10-23
cookqu01,GSW,2018-10-23
evansja02,GSW,2018-10-23
couside01,GSW,2018-10-23
duranke01,GSW,2018-10-23
looneke01,GSW,2018-10-23
jerebjo01,GSW,2018-10-23
leeda03,GSW,2018-10-23
derrima01,GSW,2018-10-23
mckinal01,GSW,2018-10-23
mckinal01,GSW,2018-10-23
